Date,Close,fear_metric,rating,,,
2016-11-28,140.75,72.0,greed,,,
2016-11-29,140.53,72.0,greed,,,
2016-11-30,140.41,73.0,greed,,,
2016-12-01,140.1,71.0,greed,,,
2016-12-02,139.48,71.0,greed,,,
2016-12-05,139.39,75.0,greed,,,
2016-12-06,140.07,79.0,extreme_greed,,,
2016-12-07,141.41,83.0,extreme_greed,,,
2016-12-08,143.76,83.0,extreme_greed,,,
2016-12-09,145.36,86.0,extreme_greed,,,
2016-12-12,144.39,87.0,extreme_greed,,,
2016-12-13,145.08,86.0,extreme_greed,,,
2016-12-14,144.09,86.0,extreme_greed,,,
2016-12-15,146.63,86.0,extreme_greed,,,
2016-12-16,146.73,84.0,extreme_greed,,,
2016-12-19,146.68,79.0,extreme_greed,,,
2016-12-20,147.74,75.0,greed,,,
2016-12-21,146.85,75.0,greed,,,
2016-12-22,146.34,71.0,greed,,,
2016-12-23,146.39,66.0,greed,,,
2016-12-27,146.55,70.0,greed,,,
2016-12-28,146.63,66.0,greed,,,
2016-12-29,145.52,65.0,greed,,,
2016-12-30,144.58,58.0,greed,,,
2017-01-03,147.42,70.0,greed,,,
2017-01-04,147.56,70.0,greed,,,
2017-01-05,146.44,70.0,greed,,,
2017-01-06,146.82,68.0,greed,,,
2017-01-09,146.61,62.0,greed,,,
2017-01-10,146.32,62.0,greed,,,
2017-01-11,147.93,61.0,greed,,,
2017-01-12,145.79,55.0,greed,,,
2017-01-13,146.57,58.0,greed,,,
2017-01-17,145.19,58.0,greed,,,
2017-01-18,145.42,55.0,greed,,,
2017-01-19,145.75,53.0,greed,,,
2017-01-20,145.39,53.0,greed,,,
2017-01-23,144.37,55.0,greed,,,
2017-01-24,145.0,59.0,greed,,,
2017-01-25,146.4,55.0,greed,,,
2017-01-26,147.24,58.0,greed,,,
2017-01-27,146.71,60.0,greed,,,
2017-01-30,146.0,55.0,greed,,,
2017-01-31,144.45,54.0,greed,,,
2017-02-01,145.19,55.0,greed,,,
2017-02-02,144.71,51.0,greed,,,
2017-02-03,145.79,60.0,greed,,,
2017-02-06,145.87,57.0,greed,,,
2017-02-07,146.52,57.0,greed,,,
2017-02-08,146.66,61.0,greed,,,
2017-02-09,147.7,66.0,greed,,,
2017-02-10,148.85,70.0,greed,,,
2017-02-13,149.84,72.0,greed,,,
2017-02-14,150.47,78.0,extreme_greed,,,
2017-02-15,151.17,80.0,extreme_greed,,,
2017-02-16,150.07,79.0,extreme_greed,,,
2017-02-17,150.65,78.0,extreme_greed,,,
2017-02-21,152.53,83.0,extreme_greed,,,
2017-02-22,152.39,80.0,extreme_greed,,,
2017-02-23,151.97,75.0,greed,,,
2017-02-24,151.95,68.0,greed,,,
2017-02-27,151.4,71.0,greed,,,
2017-02-28,150.98,64.0,greed,,,
2017-03-01,153.47,81.0,extreme_greed,,,
2017-03-02,153.28,78.0,extreme_greed,,,
2017-03-03,152.78,77.0,extreme_greed,,,
2017-03-06,152.0,69.0,greed,,,
2017-03-07,151.83,65.0,greed,,,
2017-03-08,151.73,65.0,greed,,,
2017-03-09,151.47,62.0,greed,,,
2017-03-10,151.22,65.0,greed,,,
2017-03-13,151.4,64.0,greed,,,
2017-03-14,151.17,58.0,greed,,,
2017-03-15,152.29,50.0,neutral,,,
2017-03-16,151.65,51.0,greed,,,
2017-03-17,151.5,45.0,fear,,,
2017-03-20,151.13,43.0,fear,,,
2017-03-21,149.19,37.0,fear,,,
2017-03-22,148.99,32.0,fear,,,
2017-03-23,149.39,31.0,fear,,,
2017-03-24,149.2,31.0,fear,,,
2017-03-27,148.06,27.0,fear,,,
2017-03-28,149.38,39.0,fear,,,
2017-03-29,150.95,39.0,fear,,,
2017-03-30,151.45,43.0,fear,,,
2017-03-31,151.52,47.0,fear,,,
2017-04-03,151.73,45.0,fear,,,
2017-04-04,151.69,43.0,fear,,,
2017-04-05,151.36,43.0,fear,,,
2017-04-06,151.54,43.0,fear,,,
2017-04-07,152.02,40.0,fear,,,
2017-04-10,152.41,32.0,fear,,,
2017-04-11,152.09,31.0,fear,,,
2017-04-12,151.8,28.0,fear,,,
2017-04-13,150.91,25.0,extreme_fear,,,
2017-04-18,150.23,32.0,fear,,,
2017-04-19,149.83,30.0,fear,,,
2017-04-20,150.07,34.0,fear,,,
2017-04-21,150.79,37.0,fear,,,
2017-04-24,150.78,39.0,fear,,,
2017-04-25,150.76,46.0,fear,,,
2017-04-26,151.48,48.0,fear,,,
2017-04-27,151.54,50.0,neutral,,,
2017-04-28,151.01,49.0,fear,,,
2017-05-02,151.5,47.0,fear,,,
2017-05-03,151.19,47.0,fear,,,
2017-05-04,150.97,45.0,fear,,,
2017-05-05,151.23,47.0,fear,,,
2017-05-08,152.07,55.0,greed,,,
2017-05-09,152.33,61.0,greed,,,
2017-05-10,152.86,61.0,greed,,,
2017-05-11,152.56,63.0,greed,,,
2017-05-12,151.95,62.0,greed,,,
2017-05-15,151.91,54.0,greed,,,
2017-05-16,150.89,66.0,greed,,,
2017-05-17,148.2,45.0,fear,,,
2017-05-18,148.37,47.0,fear,,,
2017-05-19,148.56,49.0,fear,,,
2017-05-22,148.66,52.0,greed,,,
2017-05-23,149.06,49.0,fear,,,
2017-05-24,149.77,54.0,greed,,,
2017-05-25,149.92,57.0,greed,,,
2017-05-26,150.13,58.0,greed,,,
2017-05-30,150.07,52.0,greed,,,
2017-05-31,149.33,50.0,neutral,,,
2017-06-01,150.5,58.0,greed,,,
2017-06-02,150.8,57.0,greed,,,
2017-06-05,150.84,58.0,greed,,,
2017-06-06,150.23,55.0,greed,,,
2017-06-07,150.36,55.0,greed,,,
2017-06-08,150.7,55.0,greed,,,
2017-06-09,151.1,54.0,greed,,,
2017-06-12,150.56,53.0,greed,,,
2017-06-13,151.3,55.0,greed,,,
2017-06-14,150.48,52.0,greed,,,
2017-06-15,151.12,52.0,greed,,,
2017-06-16,150.99,50.0,neutral,,,
2017-06-19,152.45,57.0,greed,,,
2017-06-20,151.92,50.0,neutral,,,
2017-06-21,151.5,47.0,fear,,,
2017-06-22,151.44,50.0,neutral,,,
2017-06-23,151.14,52.0,greed,,,
2017-06-26,151.31,53.0,greed,,,
2017-06-27,149.41,48.0,fear,,,
2017-06-28,149.54,60.0,greed,,,
2017-06-29,147.8,47.0,fear,,,
2017-06-30,147.82,49.0,fear,,,
2017-07-05,149.14,57.0,greed,,,
2017-07-06,147.29,44.0,fear,,,
2017-07-07,147.8,49.0,fear,,,
2017-07-10,148.13,46.0,fear,,,
2017-07-11,147.62,44.0,fear,,,
2017-07-12,148.95,47.0,fear,,,
2017-07-13,149.46,54.0,greed,,,
2017-07-14,149.75,64.0,greed,,,
2017-07-17,149.49,67.0,greed,,,
2017-07-18,148.14,74.0,greed,,,
2017-07-19,149.62,69.0,greed,,,
2017-07-20,148.5,73.0,greed,,,
2017-07-21,147.85,73.0,greed,,,
2017-07-24,147.73,73.0,greed,,,
2017-07-25,147.93,70.0,greed,,,
2017-07-26,148.44,75.0,greed,,,
2017-07-27,148.12,73.0,greed,,,
2017-07-28,146.86,69.0,greed,,,
2017-07-31,146.38,66.0,greed,,,
2017-08-01,146.83,66.0,greed,,,
2017-08-02,146.26,61.0,greed,,,
2017-08-03,145.91,59.0,greed,,,
2017-08-04,147.44,64.0,greed,,,
2017-08-07,147.18,58.0,greed,,,
2017-08-08,147.54,52.0,greed,,,
2017-08-09,147.09,41.0,fear,,,
2017-08-10,145.44,31.0,fear,,,
2017-08-11,144.74,25.0,extreme_fear,,,
2017-08-14,145.95,36.0,fear,,,
2017-08-15,146.52,27.0,fear,,,
2017-08-16,147.09,32.0,fear,,,
2017-08-17,145.29,17.0,extreme_fear,,,
2017-08-18,144.75,17.0,extreme_fear,,,
2017-08-21,144.07,15.0,extreme_fear,,,
2017-08-22,145.69,23.0,extreme_fear,,,
2017-08-23,144.86,19.0,extreme_fear,,,
